UPRN,R Route,D Route,G Route,F Route,C Route,R Day,R Wk,D Day,D WK,G Day,G Wk,F Day,F Wk,C Day,F Wk
9059002549,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059037977,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059016892,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059010648,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059025728,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059016181,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059000196,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059068587,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059012189,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059019654,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059059092,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059034745,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059033441,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059059376,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059020535,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059012206,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059026926,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059003345,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059052448,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059054614,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059016236,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059003662,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059053872,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059054911,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059037124,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059003778,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059049748,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059060020,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059041696,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059000986,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059047490,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059021565,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059068153,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059013611,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059056350,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
9059060655,REF107,DMR107,G11,F11,C21,M,1,M,2,M,4,F,1,Tu,2
